session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
62884443d22eed346cecdf5b,5c7135f1bd8e00000172fdf5,APPROVED,2022-05-21 01:45:42.761000,2022-05-21 02:14:50.302000,1747.541,38,1347,0,100,2022-05-23 09:00:37.425000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
62884445fcb429d61893462b,5dd3e3cd5daaa63c5fdb7bb8,RETURNED,2022-05-21 01:45:46.218000,,219438.472197,35,2617,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884456b7b2537f48e8d810,6089714497c6a46ebdf12234,APPROVED,2022-05-21 01:45:58.701000,2022-05-21 02:05:00.004000,1141.303,27,1066,4,100,2022-05-23 09:00:37.739000,81A407F4,United States,United States,Unemployed (and job seeking),I only know English,English,United States,Female,No
62884489fc37fe714f843c3f,60b4f4b34e71c30513ecc1f5,RETURNED,2022-05-21 01:46:57.643000,,219367.080524,32,602,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62884496ced7954831b77af3,628509db78b0974b3a6c739a,RETURNED,2022-05-21 01:47:07.194000,,219357.542042,29,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628844b08c4bc3d5b9c88247,567dd32b4f0ef30006dbb718,RETURNED,2022-05-21 01:47:33.700000,,219331.048444,55,4613,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628844f2479f817e85cb97e8,5b2b9c81a9681800015872c2,APPROVED,2022-05-21 01:48:43.372000,2022-05-21 02:22:24.985000,2021.613,24,158,0,100,2022-05-23 09:00:38.089000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,DATA EXPIRED
628844fffc37fe714f843c41,6151c93f62e26ed6871a5fbd,APPROVED,2022-05-21 01:48:51.060000,2022-05-21 02:08:05.906000,1154.846,49,1531,9,99,2022-05-23 09:00:38.405000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
628845043d8c903f3212b80a,5d1804fa1a4be70001636be9,APPROVED,2022-05-21 01:48:55.668000,2022-05-21 02:08:31.780000,1176.112,33,734,1,100,2022-05-23 09:00:38.711000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
62884504f9a6a6e2a0c981c7,60ef4d541f9d5122ffad5d48,RETURNED,2022-05-21 01:53:48.379000,,218956.420876,25,691,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
