filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,word,VOT,target_f0,vowel_duration
dintin_VOT105_F0250,0.1236750008060099,249.52313523995093,248.89899661142076,dintin,105,F0250,123.6750008060099
dintin_VOT110_F0250,0.1220120418130648,249.59580489954115,248.8426405181481,dintin,110,F0250,122.0120418130648
dintin_VOT115_F0250,0.1163274376417256,249.63652560810596,249.16265868194964,dintin,115,F0250,116.3274376417256
dintin_VOT120_F0251,0.1158103348647721,249.477951707221,248.9494277325516,dintin,120,F0251,115.8103348647721
dintin_VOT125_F0251,0.11573686851789944,250.06486200448097,249.5785003735887,dintin,125,F0251,115.73686851789944
dintin_VOT130_F0251,0.11461768516930704,250.5840839467422,249.75588731204223,dintin,130,F0251,114.61768516930704
dintin_VOT135_F0251,0.1148686098370959,250.2103785523969,249.4466574763804,dintin,135,F0251,114.8686098370959
dintin_VOT140_F0252,0.10991687566592744,250.75924484807368,250.0364973202984,dintin,140,F0252,109.91687566592744
dintin_VOT145_F0252,0.10808883192029128,250.21318543258909,249.4936928689548,dintin,145,F0252,108.08883192029128
dintin_VOT15_F0247,0.152888667516887,245.94166654088576,245.60908413307027,dintin,15,F0247,152.888667516887
dintin_VOT150_F0252,0.10846518607442944,250.6170606644538,249.74056211076487,dintin,150,F0252,108.46518607442944
